procedures,provstem,gp_prov_address_suburb,gp_prov_address_state,gp_prov_address_postcode,lon,lat
1,031137,EAST MELBOURNE,VIC,3002,144.9822,-37.81852
245,031164,BUNBURY,WA,6230,115.6492,-33.34108
1,031191,PIVET MEDICAL CENTRE,WA,6007,115.8343,-31.93567
290,031191,SUBIACO,WA,6008,115.8114,-31.9566
1,031213,KENTLYN,NSW,2560,150.7684,-34.19422
18,031463,BERRI,SA,5343,140.5562,-34.32129
75,031872,NEWTOWN,NSW,2042,151.1754,-33.90065
1,031872,RANDWICK,NSW,2031,151.2392,-33.91483
1,031958,CHARLEVILLE,QLD,4470,145.9581,-26.20863
1,031958,DALBY,QLD,4405,150.911,-27.3168
62,031958,GLADSTONE,QLD,4680,151.9173,-23.44683
33,031958,ROCKHAMPTON,QLD,4700,150.9581,-23.18017
1,031958,ST GEORGE,QLD,4487,148.4085,-27.93119
1,031958,WARRNAMBOOL,VIC,3280,142.4829,-38.37884
224,031973,BENDIGO,VIC,3550,144.2853,-36.76427
1,031988,MT TAMBORINE MED CTR,QLD,4272,153.1834,-27.96082
67,032088,BOX HILL,VIC,3128,145.1224,-37.82887
325,032088,KEW,VIC,3101,145.0366,-37.8074
397,032175,PARKVILLE,VIC,3052,144.9489,-37.789
1,032260,CAMPBELLTOWN,NSW,2560,150.7684,-34.19422
340,032444,GEELONG,VIC,3220,144.3465,-38.15704
33,032455,EAST MELBOURNE,VIC,3002,144.9822,-37.81852
59,032482,267 FLEMINGTON RD,VIC,3051,144.9436,-37.8006
117,032482,MOONEE PONDS,VIC,3039,144.923,-37.76619
25,032533,FL 6,QLD,4226,153.4028,-28.06794
1,032533,TUGUN,QLD,4224,153.4893,-28.15022
19,032597,CAMPSIE,NSW,2194,151.1018,-33.9176
470,032597,LEICHHARDT,NSW,2040,151.1568,-33.87877
13,032597,NORTH RYDE,NSW,2113,151.1302,-33.79419
11,032663,BAULKHAM HILLS,NSW,2153,150.9559,-33.73165
3,032663,BELLA VISTA,NSW,2153,150.9559,-33.73165
3,032663,WAHROONGA,NSW,2076,151.1082,-33.72326
21,032696,PERTH,WA,6000,115.8599,-31.94876
1,032700,SIVF/NORTH GOSFORD HOSPI,NSW,2250,151.1892,-33.32537
450,032700,TUGUN,QLD,4224,153.4893,-28.15022
1,032700,TWEED HEADS,NSW,2485,153.5268,-28.18424
1,032732,WOODVALE,WA,6026,115.7998,-31.80171
588,032760,BENDIGO,VIC,3550,144.2853,-36.76427
258,032785,EVERTON PARK,QLD,4053,152.9872,-27.39957
7,032785,SPRING HILL,QLD,4000,153.0221,-27.46839
3,032824,CHATSWOOD,NSW,2067,151.1771,-33.79838
13,032824,NEWTOWN,NSW,2042,151.1754,-33.90065
1,032880,SE 21 ILLAWARRA UROGYNAE,NSW,2500,150.8743,-34.42317
26,032880,WOLLONGONG,NSW,2500,150.8743,-34.42317
155,033047,BATHURST,NSW,2795,149.4744,-33.8208
2,033047,LITHGOW,NSW,2790,150.3569,-33.31065
2,033047,LIVERPOOL,NSW,2170,150.9214,-33.92839
94,033047,WARWICK FARM,NSW,2170,150.9214,-33.92839
9,033127,GWYNNEVILLE,NSW,2500,150.8743,-34.42317
3,033159,HUNTER ST MED CEN,NSW,2300,151.778,-32.93164
